模型,潜通道C,snr_db,mse,psnr_db,ssim,lpips,sample_count
Latent-4,4,-10.0,0.020670497541626295,17.14449255662312,0.31589570782291065,0.6182685653368633,30
Latent-4,4,-5.0,0.012548545949781935,19.248879200069318,0.4195719192263551,0.6163384874661764,30
Latent-4,4,0.0,0.009110950585454702,20.629273790934104,0.4897097295518347,0.6039771020412446,30
Latent-4,4,5.0,0.0076343762533118325,21.45058502016329,0.5377193310613233,0.5989393532276154,30
Latent-4,4,10.0,0.00720262184428672,21.738227825276503,0.558517780279702,0.5958401501178742,30
Latent-8,8,-10.0,0.015775896205256382,18.203027297349642,0.37160773237667616,0.5841801941394806,30
Latent-8,8,-5.0,0.009743877702082198,20.297139382570705,0.4782790403955317,0.5640731871128082,30
Latent-8,8,0.0,0.007293935383980473,21.64706891716788,0.5553410199898312,0.5325873126586278,30
Latent-8,8,5.0,0.0064096202452977495,22.250806687735764,0.5947395784305282,0.5230304479599,30
Latent-8,8,10.0,0.006099443688678245,22.505339302739113,0.6127847402846857,0.5200636704762777,30
Baseline,16,-10.0,0.012881325899312894,19.08241842053447,0.43066127367803736,0.5640938113133113,30
Baseline,16,-5.0,0.007778427858526508,21.300405277191903,0.5398675432949577,0.5109583149353664,30
Baseline,16,0.0,0.006105644752581915,22.459474748666775,0.6067789511159422,0.46963686247666675,30
Baseline,16,5.0,0.005526436314297219,22.955496323092742,0.6382362352424747,0.4605456372102102,30
Baseline,16,10.0,0.0053275426539282,23.15038443848764,0.6506965359874175,0.4548233022292455,30
Latent-32,32,-10.0,0.009536461951211096,20.415292572724294,0.500177315965604,0.5142840474843979,30
Latent-32,32,-5.0,0.005993396144670745,22.481983281401973,0.6105836699103744,0.43854985137780506,30
Latent-32,32,0.0,0.004678214465578397,23.671797609817474,0.6758528409579054,0.3977888117233912,30
Latent-32,32,5.0,0.004299847688525915,24.083977557031655,0.7061011057999992,0.3786001940568288,30
Latent-32,32,10.0,0.004188375112911065,24.229760970027982,0.7149592783195291,0.37514068682988483,30
